,words,category,correct_amp,correct_ldt,masks
43,charges,fairness.vice,right,right,&&&&&&&
44,threatened,fairness.vice,right,right,&&&&&&&&&&
45,voter,fairness.vice,right,right,&&&&&
46,forced,fairness.vice,right,right,&&&&&&
47,terrorists,fairness.vice,right,right,&&&&&&&&&&
48,support,loyalty.virtue,left,right,&&&&&&&
49,love,loyalty.virtue,left,right,&&&&
50,intelligence,loyalty.virtue,left,right,&&&&&&&&&&&&
51,strong,loyalty.virtue,left,right,&&&&&&
52,friends,loyalty.virtue,left,right,&&&&&&&
53,party,loyalty.virtue,left,right,&&&&&
54,great,loyalty.virtue,left,right,&&&&&
55,loyalty,loyalty.virtue,left,right,&&&&&&&
56,hope,loyalty.virtue,left,right,&&&&
57,promised,loyalty.virtue,left,right,&&&&&&&&
58,praised,loyalty.virtue,left,right,&&&&&&&
59,sharing,loyalty.virtue,left,right,&&&&&&&
60,terrorist,loyalty.vice,right,right,&&&&&&&&&
61,ban,loyalty.vice,right,right,&&&
62,groups,loyalty.vice,right,right,&&&&&&
63,failure,loyalty.vice,right,right,&&&&&&&
64,black,loyalty.vice,right,right,&&&&&
65,troops,loyalty.vice,right,right,&&&&&&
66,slavery,loyalty.vice,right,right,&&&&&&&
67,blamed,loyalty.vice,right,right,&&&&&&
68,men,loyalty.vice,right,right,&&&
69,army,loyalty.vice,right,right,&&&&
70,betrayal,loyalty.vice,right,right,&&&&&&&&
71,critics,loyalty.vice,right,right,&&&&&&&
72,trust,authority.virtue,left,right,&&&&&
73,useful,authority.virtue,left,right,&&&&&&
74,actively,authority.virtue,left,right,&&&&&&&&
75,embrace,authority.virtue,left,right,&&&&&&&
76,praise,authority.virtue,left,right,&&&&&&
77,powerful,authority.virtue,left,right,&&&&&&&&
78,honored,authority.virtue,left,right,&&&&&&&
79,celebrated,authority.virtue,left,right,&&&&&&&&&&
80,ability,authority.virtue,left,right,&&&&&&&
81,progress,authority.virtue,left,right,&&&&&&&&
82,encourage,authority.virtue,left,right,&&&&&&&&&
83,peaceful,authority.virtue,left,right,&&&&&&&&
84,police,authority.vice,right,right,&&&&&&
85,officers,authority.vice,right,right,&&&&&&&&
86,gun,authority.vice,right,right,&&&
87,penalty,authority.vice,right,right,&&&&&&&
88,rebels,authority.vice,right,right,&&&&&&
89,rejected,authority.vice,right,right,&&&&&&&&
90,protesters,authority.vice,right,right,&&&&&&&&&&
91,fighters,authority.vice,right,right,&&&&&&&&
92,prosecution,authority.vice,right,right,&&&&&&&&&&&
93,riot,authority.vice,right,right,&&&&
94,refused,authority.vice,right,right,&&&&&&&
95,arrests,authority.vice,right,right,&&&&&&&
96,values,sanctity.virtue,left,right,&&&&&&
97,freedom,sanctity.virtue,left,right,&&&&&&&
98,respect,sanctity.virtue,left,right,&&&&&&&
99,commitment,sanctity.virtue,left,right,&&&&&&&&&&
100,strength,sanctity.virtue,left,right,&&&&&&&&
101,promote,sanctity.virtue,left,right,&&&&&&&
102,clean,sanctity.virtue,left,right,&&&&&
103,faith,sanctity.virtue,left,right,&&&&&
104,hand,sanctity.virtue,left,right,&&&&
105,dignity,sanctity.virtue,left,right,&&&&&&&
106,perfect,sanctity.virtue,left,right,&&&&&&&
107,energy,sanctity.virtue,left,right,&&&&&&
108,abuse,sanctity.vice,right,right,&&&&&
109,racist,sanctity.vice,right,right,&&&&&&
110,sexual,sanctity.vice,right,right,&&&&&&
111,war,sanctity.vice,right,right,&&&
112,serial,sanctity.vice,right,right,&&&&&&
113,drug,sanctity.vice,right,right,&&&&
114,fear,sanctity.vice,right,right,&&&&
115,scandal,sanctity.vice,right,right,&&&&&&&
116,corruption,sanctity.vice,right,right,&&&&&&&&&&
117,conspiracy,sanctity.vice,right,right,&&&&&&&&&&
118,harassment,sanctity.vice,right,right,&&&&&&&&&&
119,violations,sanctity.vice,right,right,&&&&&&&&&&
120,latterly,neutral,,right,&&&&&&&&
121,hereby,neutral,,right,&&&&&&
122,forty,neutral,,right,&&&&&
123,although,neutral,,right,&&&&&&&&
124,whereafter,neutral,,right,&&&&&&&&&&
125,also,neutral,,right,&&&&
126,wherever,neutral,,right,&&&&&&&&
127,either,neutral,,right,&&&&&&
128,about,neutral,,right,&&&&&
129,everything,neutral,,right,&&&&&&&&&&
130,three,neutral,,right,&&&&&
131,fifty,neutral,,right,&&&&&
132,hence,neutral,,right,&&&&&
133,amount,neutral,,right,&&&&&&
134,latter,neutral,,right,&&&&&&
135,amoungst,neutral,,right,&&&&&&&&
136,whither,neutral,,right,&&&&&&&
137,each,neutral,,right,&&&&
138,thru,neutral,,right,&&&&
139,could,neutral,,right,&&&&&
140,myself,neutral,,right,&&&&&&
141,fifteen,neutral,,right,&&&&&&&
142,eight,neutral,,right,&&&&&
143,less,neutral,,right,&&&&
144,elsewhere,neutral,,right,&&&&&&&&&
145,couldnt,neutral,,right,&&&&&&&
146,besides,neutral,,right,&&&&&&&
147,even,neutral,,right,&&&&
148,both,neutral,,right,&&&&
149,towards,neutral,,right,&&&&&&&
150,give,neutral,,right,&&&&
151,done,neutral,,right,&&&&
152,noone,neutral,,right,&&&&&
153,therefore,neutral,,right,&&&&&&&&&
154,with,neutral,,right,&&&&
155,else,neutral,,right,&&&&
156,toward,neutral,,right,&&&&&&
157,anything,neutral,,right,&&&&&&&&
158,somehow,neutral,,right,&&&&&&&
159,least,neutral,,right,&&&&&
160,were,neutral,,right,&&&&
161,there,neutral,,right,&&&&&
162,been,neutral,,right,&&&&
163,front,neutral,,right,&&&&&
164,mostly,neutral,,right,&&&&&&
165,seem,neutral,,right,&&&&
166,itself,neutral,,right,&&&&&&
167,further,neutral,,right,&&&&&&&
168,anyhow,neutral,,right,&&&&&&
169,become,neutral,,right,&&&&&&
170,spraize,nonword,,left,&&&&&&&
171,knewed,nonword,,left,&&&&&&
172,dighnd,nonword,,left,&&&&&&
173,mawlde,nonword,,left,&&&&&&
174,squintce,nonword,,left,&&&&&&&&
175,scrauld,nonword,,left,&&&&&&&
176,weudd,nonword,,left,&&&&&
177,rheys,nonword,,left,&&&&&
178,phluks,nonword,,left,&&&&&&
179,clorze,nonword,,left,&&&&&&
180,wayed,nonword,,left,&&&&&
181,crarft,nonword,,left,&&&&&&
182,stailde,nonword,,left,&&&&&&&
183,phiks,nonword,,left,&&&&&
184,spewd,nonword,,left,&&&&&
185,stintz,nonword,,left,&&&&&&
186,skard,nonword,,left,&&&&&
187,chawde,nonword,,left,&&&&&&
188,wreize,nonword,,left,&&&&&&
189,squauzz,nonword,,left,&&&&&&&
190,kuntz,nonword,,left,&&&&&
191,cifte,nonword,,left,&&&&&
192,rhuissed,nonword,,left,&&&&&&&&
193,rhailled,nonword,,left,&&&&&&&&
194,snoze,nonword,,left,&&&&&
195,thinx,nonword,,left,&&&&&
196,yakks,nonword,,left,&&&&&
197,twild,nonword,,left,&&&&&
198,stroad,nonword,,left,&&&&&&
199,phigns,nonword,,left,&&&&&&
200,wraize,nonword,,left,&&&&&&
201,phlaizz,nonword,,left,&&&&&&&
202,pseighs,nonword,,left,&&&&&&&
203,prinse,nonword,,left,&&&&&&
204,psured,nonword,,left,&&&&&&
205,graidd,nonword,,left,&&&&&&
206,gnoozz,nonword,,left,&&&&&&
207,shind,nonword,,left,&&&&&
208,plonx,nonword,,left,&&&&&
209,frord,nonword,,left,&&&&&
210,rhaps,nonword,,left,&&&&&
211,splysed,nonword,,left,&&&&&&&
212,koozz,nonword,,left,&&&&&
213,choes,nonword,,left,&&&&&
214,shypse,nonword,,left,&&&&&&
215,beest,nonword,,left,&&&&&
216,feuld,nonword,,left,&&&&&
217,rhoalled,nonword,,left,&&&&&&&&
218,sweede,nonword,,left,&&&&&&
219,soughste,nonword,,left,&&&&&&&&
220,naidd,nonword,,left,&&&&&
221,bipht,nonword,,left,&&&&&
222,fourz,nonword,,left,&&&&&
223,gryssed,nonword,,left,&&&&&&&
224,thripht,nonword,,left,&&&&&&&
225,preighs,nonword,,left,&&&&&&&
226,stryct,nonword,,left,&&&&&&
227,wraughsed,nonword,,left,&&&&&&&&&
228,pheassed,nonword,,left,&&&&&&&&
229,noost,nonword,,left,&&&&&
230,phegned,nonword,,left,&&&&&&&
231,freazz,nonword,,left,&&&&&&
232,phlux,nonword,,left,&&&&&
233,spauned,nonword,,left,&&&&&&&
234,laudd,nonword,,left,&&&&&
235,stealde,nonword,,left,&&&&&&&
236,prous,nonword,,left,&&&&&
237,doars,nonword,,left,&&&&&
238,winze,nonword,,left,&&&&&
239,snauz,nonword,,left,&&&&&
240,creinned,nonword,,left,&&&&&&&&
241,feulde,nonword,,left,&&&&&&
242,treas,nonword,,left,&&&&&
243,psypped,nonword,,left,&&&&&&&
244,stourz,nonword,,left,&&&&&&
245,cande,nonword,,left,&&&&&
246,wrantse,nonword,,left,&&&&&&&
247,jogns,nonword,,left,&&&&&
248,spynze,nonword,,left,&&&&&&
249,rhoas,nonword,,left,&&&&&
250,wheighlde,nonword,,left,&&&&&&&&&
251,slypped,nonword,,left,&&&&&&&
252,coacs,nonword,,left,&&&&&
253,skypped,nonword,,left,&&&&&&&
254,roossed,nonword,,left,&&&&&&&
255,drighs,nonword,,left,&&&&&&
256,brored,nonword,,left,&&&&&&
257,wence,nonword,,left,&&&&&
258,bluphte,nonword,,left,&&&&&&&
259,psyncs,nonword,,left,&&&&&&
260,wepte,nonword,,left,&&&&&
261,spreussed,nonword,,left,&&&&&&&&&
262,yealde,nonword,,left,&&&&&&
263,phlaide,nonword,,left,&&&&&&&
264,jipte,nonword,,left,&&&&&
265,lighnde,nonword,,left,&&&&&&&
266,peizz,nonword,,left,&&&&&
267,sharz,nonword,,left,&&&&&
268,sneaze,nonword,,left,&&&&&&
269,knapps,nonword,,left,&&&&&&
270,troalde,nonword,,left,&&&&&&&
271,yeussed,nonword,,left,&&&&&&&
272,peighld,nonword,,left,&&&&&&&
273,foald,nonword,,left,&&&&&
274,ailled,nonword,,left,&&&&&&
275,daizz,nonword,,left,&&&&&
276,treize,nonword,,left,&&&&&&
277,crict,nonword,,left,&&&&&
278,dynned,nonword,,left,&&&&&&
279,scourld,nonword,,left,&&&&&&&
280,pleasant,control,right,right,&&&&&&&
281,unpleasant,control,left,right,&&&&&&&&&
