,words,category,correct_amp,correct_ldt,masks
49,love,loyalty.virtue,left,left,&&&&
50,intelligence,loyalty.virtue,left,left,&&&&&&&&&&&&
51,strong,loyalty.virtue,left,left,&&&&&&
52,friends,loyalty.virtue,left,left,&&&&&&&
53,party,loyalty.virtue,left,left,&&&&&
54,great,loyalty.virtue,left,left,&&&&&
55,loyalty,loyalty.virtue,left,left,&&&&&&&
56,hope,loyalty.virtue,left,left,&&&&
57,promised,loyalty.virtue,left,left,&&&&&&&&
58,praised,loyalty.virtue,left,left,&&&&&&&
59,sharing,loyalty.virtue,left,left,&&&&&&&
60,terrorist,loyalty.vice,right,left,&&&&&&&&&
61,ban,loyalty.vice,right,left,&&&
62,groups,loyalty.vice,right,left,&&&&&&
63,failure,loyalty.vice,right,left,&&&&&&&
64,black,loyalty.vice,right,left,&&&&&
65,troops,loyalty.vice,right,left,&&&&&&
66,slavery,loyalty.vice,right,left,&&&&&&&
67,blamed,loyalty.vice,right,left,&&&&&&
68,men,loyalty.vice,right,left,&&&
69,army,loyalty.vice,right,left,&&&&
70,betrayal,loyalty.vice,right,left,&&&&&&&&
71,critics,loyalty.vice,right,left,&&&&&&&
72,trust,authority.virtue,left,left,&&&&&
73,useful,authority.virtue,left,left,&&&&&&
74,actively,authority.virtue,left,left,&&&&&&&&
75,embrace,authority.virtue,left,left,&&&&&&&
76,praise,authority.virtue,left,left,&&&&&&
77,powerful,authority.virtue,left,left,&&&&&&&&
78,honored,authority.virtue,left,left,&&&&&&&
79,celebrated,authority.virtue,left,left,&&&&&&&&&&
80,ability,authority.virtue,left,left,&&&&&&&
81,progress,authority.virtue,left,left,&&&&&&&&
82,encourage,authority.virtue,left,left,&&&&&&&&&
83,peaceful,authority.virtue,left,left,&&&&&&&&
84,police,authority.vice,right,left,&&&&&&
85,officers,authority.vice,right,left,&&&&&&&&
86,gun,authority.vice,right,left,&&&
87,penalty,authority.vice,right,left,&&&&&&&
88,rebels,authority.vice,right,left,&&&&&&
89,rejected,authority.vice,right,left,&&&&&&&&
90,protesters,authority.vice,right,left,&&&&&&&&&&
91,fighters,authority.vice,right,left,&&&&&&&&
92,prosecution,authority.vice,right,left,&&&&&&&&&&&
93,riot,authority.vice,right,left,&&&&
94,refused,authority.vice,right,left,&&&&&&&
95,arrests,authority.vice,right,left,&&&&&&&
96,values,sanctity.virtue,left,left,&&&&&&
97,freedom,sanctity.virtue,left,left,&&&&&&&
98,respect,sanctity.virtue,left,left,&&&&&&&
99,commitment,sanctity.virtue,left,left,&&&&&&&&&&
100,strength,sanctity.virtue,left,left,&&&&&&&&
101,promote,sanctity.virtue,left,left,&&&&&&&
102,clean,sanctity.virtue,left,left,&&&&&
103,faith,sanctity.virtue,left,left,&&&&&
104,hand,sanctity.virtue,left,left,&&&&
105,dignity,sanctity.virtue,left,left,&&&&&&&
106,perfect,sanctity.virtue,left,left,&&&&&&&
107,energy,sanctity.virtue,left,left,&&&&&&
108,abuse,sanctity.vice,right,left,&&&&&
109,racist,sanctity.vice,right,left,&&&&&&
110,sexual,sanctity.vice,right,left,&&&&&&
111,war,sanctity.vice,right,left,&&&
112,serial,sanctity.vice,right,left,&&&&&&
113,drug,sanctity.vice,right,left,&&&&
114,fear,sanctity.vice,right,left,&&&&
115,scandal,sanctity.vice,right,left,&&&&&&&
116,corruption,sanctity.vice,right,left,&&&&&&&&&&
117,conspiracy,sanctity.vice,right,left,&&&&&&&&&&
118,harassment,sanctity.vice,right,left,&&&&&&&&&&
119,violations,sanctity.vice,right,left,&&&&&&&&&&
120,latterly,neutral,,left,&&&&&&&&
121,hereby,neutral,,left,&&&&&&
122,forty,neutral,,left,&&&&&
123,although,neutral,,left,&&&&&&&&
124,whereafter,neutral,,left,&&&&&&&&&&
125,also,neutral,,left,&&&&
126,wherever,neutral,,left,&&&&&&&&
127,either,neutral,,left,&&&&&&
128,about,neutral,,left,&&&&&
129,everything,neutral,,left,&&&&&&&&&&
130,three,neutral,,left,&&&&&
131,fifty,neutral,,left,&&&&&
132,hence,neutral,,left,&&&&&
133,amount,neutral,,left,&&&&&&
134,latter,neutral,,left,&&&&&&
135,amoungst,neutral,,left,&&&&&&&&
136,whither,neutral,,left,&&&&&&&
137,each,neutral,,left,&&&&
138,thru,neutral,,left,&&&&
139,could,neutral,,left,&&&&&
140,myself,neutral,,left,&&&&&&
141,fifteen,neutral,,left,&&&&&&&
142,eight,neutral,,left,&&&&&
143,less,neutral,,left,&&&&
144,elsewhere,neutral,,left,&&&&&&&&&
145,couldnt,neutral,,left,&&&&&&&
146,besides,neutral,,left,&&&&&&&
147,even,neutral,,left,&&&&
148,both,neutral,,left,&&&&
149,towards,neutral,,left,&&&&&&&
150,give,neutral,,left,&&&&
151,done,neutral,,left,&&&&
152,noone,neutral,,left,&&&&&
153,therefore,neutral,,left,&&&&&&&&&
154,with,neutral,,left,&&&&
155,else,neutral,,left,&&&&
156,toward,neutral,,left,&&&&&&
157,anything,neutral,,left,&&&&&&&&
158,somehow,neutral,,left,&&&&&&&
159,least,neutral,,left,&&&&&
160,were,neutral,,left,&&&&
161,there,neutral,,left,&&&&&
162,been,neutral,,left,&&&&
163,front,neutral,,left,&&&&&
164,mostly,neutral,,left,&&&&&&
165,seem,neutral,,left,&&&&
166,itself,neutral,,left,&&&&&&
167,further,neutral,,left,&&&&&&&
168,anyhow,neutral,,left,&&&&&&
169,become,neutral,,left,&&&&&&
170,spraize,nonword,,left,&&&&&&&
171,knewed,nonword,,left,&&&&&&
172,dighnd,nonword,,left,&&&&&&
173,mawlde,nonword,,left,&&&&&&
174,squintce,nonword,,left,&&&&&&&&
175,scrauld,nonword,,left,&&&&&&&
176,weudd,nonword,,left,&&&&&
177,rheys,nonword,,left,&&&&&
178,phluks,nonword,,left,&&&&&&
179,clorze,nonword,,left,&&&&&&
180,wayed,nonword,,left,&&&&&
181,crarft,nonword,,left,&&&&&&
182,stailde,nonword,,left,&&&&&&&
183,phiks,nonword,,left,&&&&&
184,spewd,nonword,,left,&&&&&
185,stintz,nonword,,left,&&&&&&
186,skard,nonword,,left,&&&&&
187,chawde,nonword,,left,&&&&&&
188,wreize,nonword,,left,&&&&&&
189,squauzz,nonword,,left,&&&&&&&
190,kuntz,nonword,,left,&&&&&
191,cifte,nonword,,left,&&&&&
192,rhuissed,nonword,,left,&&&&&&&&
193,rhailled,nonword,,left,&&&&&&&&
194,snoze,nonword,,left,&&&&&
195,thinx,nonword,,left,&&&&&
196,yakks,nonword,,left,&&&&&
197,twild,nonword,,left,&&&&&
198,stroad,nonword,,left,&&&&&&
199,phigns,nonword,,left,&&&&&&
200,wraize,nonword,,left,&&&&&&
201,phlaizz,nonword,,left,&&&&&&&
202,pseighs,nonword,,left,&&&&&&&
203,prinse,nonword,,left,&&&&&&
204,psured,nonword,,left,&&&&&&
205,graidd,nonword,,left,&&&&&&
206,gnoozz,nonword,,left,&&&&&&
207,shind,nonword,,left,&&&&&
208,plonx,nonword,,left,&&&&&
209,frord,nonword,,left,&&&&&
210,rhaps,nonword,,left,&&&&&
211,splysed,nonword,,left,&&&&&&&
212,koozz,nonword,,left,&&&&&
213,choes,nonword,,left,&&&&&
214,shypse,nonword,,left,&&&&&&
215,beest,nonword,,left,&&&&&
216,feuld,nonword,,left,&&&&&
217,rhoalled,nonword,,left,&&&&&&&&
218,sweede,nonword,,left,&&&&&&
219,soughste,nonword,,left,&&&&&&&&
220,naidd,nonword,,left,&&&&&
221,bipht,nonword,,left,&&&&&
222,fourz,nonword,,left,&&&&&
223,gryssed,nonword,,left,&&&&&&&
224,thripht,nonword,,left,&&&&&&&
225,preighs,nonword,,left,&&&&&&&
226,stryct,nonword,,left,&&&&&&
227,wraughsed,nonword,,left,&&&&&&&&&
228,pheassed,nonword,,left,&&&&&&&&
229,noost,nonword,,left,&&&&&
230,phegned,nonword,,left,&&&&&&&
231,freazz,nonword,,left,&&&&&&
232,phlux,nonword,,left,&&&&&
233,spauned,nonword,,left,&&&&&&&
234,laudd,nonword,,left,&&&&&
235,stealde,nonword,,left,&&&&&&&
236,prous,nonword,,left,&&&&&
237,doars,nonword,,left,&&&&&
238,winze,nonword,,left,&&&&&
239,snauz,nonword,,left,&&&&&
240,creinned,nonword,,left,&&&&&&&&
241,feulde,nonword,,left,&&&&&&
242,treas,nonword,,left,&&&&&
243,psypped,nonword,,left,&&&&&&&
244,stourz,nonword,,left,&&&&&&
245,cande,nonword,,left,&&&&&
246,wrantse,nonword,,left,&&&&&&&
247,jogns,nonword,,left,&&&&&
248,spynze,nonword,,left,&&&&&&
249,rhoas,nonword,,left,&&&&&
250,wheighlde,nonword,,left,&&&&&&&&&
251,slypped,nonword,,left,&&&&&&&
252,coacs,nonword,,left,&&&&&
253,skypped,nonword,,left,&&&&&&&
254,roossed,nonword,,left,&&&&&&&
255,drighs,nonword,,left,&&&&&&
256,brored,nonword,,left,&&&&&&
257,wence,nonword,,left,&&&&&
258,bluphte,nonword,,left,&&&&&&&
259,psyncs,nonword,,left,&&&&&&
260,wepte,nonword,,left,&&&&&
261,spreussed,nonword,,left,&&&&&&&&&
262,yealde,nonword,,left,&&&&&&
263,phlaide,nonword,,left,&&&&&&&
264,jipte,nonword,,left,&&&&&
265,lighnde,nonword,,left,&&&&&&&
266,peizz,nonword,,left,&&&&&
267,sharz,nonword,,left,&&&&&
268,sneaze,nonword,,left,&&&&&&
269,knapps,nonword,,left,&&&&&&
270,troalde,nonword,,left,&&&&&&&
271,yeussed,nonword,,left,&&&&&&&
272,peighld,nonword,,left,&&&&&&&
273,foald,nonword,,left,&&&&&
274,ailled,nonword,,left,&&&&&&
275,daizz,nonword,,left,&&&&&
276,treize,nonword,,left,&&&&&&
277,crict,nonword,,left,&&&&&
278,dynned,nonword,,left,&&&&&&
279,scourld,nonword,,left,&&&&&&&
280,pleasant,control,right,,&&&&&&&
281,unpleasant,control,left,,&&&&&&&&&
